patterns\K,0,1,2,3,4,5,6,7,8
(1- 29),1.64542543964,2.2821225008,2.27190925535,2.29848699338,2.28938884217,2.27615362063,2.76244103087,2.52774254596,1.97400825922
(1- 30),2.3545719849,2.02559623248,2.46067255481,2.3649661465,2.39067377038,2.27158262472,2.32726674244,2.41577760945,2.20586481983
(1- 31),2.48056180989,2.48100417715,4.06408976396,0.549662460733,2.60324076548,3.69845953486,2.28550463606,1.54674792069,1.82971747826
(1- 32),1.50097692134,2.84409473241,3.94022884045,1.74871180395,2.68409376805,2.12204536793,2.17298943795,1.83629704144,2.49899222968
(1- 33),2.6396170508,2.25972998336,2.47284872531,2.3231803579,2.48210277794,2.5188097979,2.13632326856,2.07355066439,2.09672394
(1- 34),2.1100418525,1.6808303558,2.13113224236,2.39330377427,2.4185551998,1.74517136967,2.88237909432,2.9248643434,2.5094098756
(1- 35),2.4724013215,2.28336229993,2.2372703487,2.50955935515,2.22266753694,2.66197760184,2.59797741711,2.17632162614,1.91025415824
(1- 36),2.06021929916,2.09495072328,2.44647551304,2.22558969329,2.31253083689,2.1969493181,2.48495411535,2.46632468397,2.38104746595
(1- 37),1.51863718954,1.87265491575,3.00041935686,2.59770554321,1.93142987189,2.43294700782,2.18789329788,2.10962273796,2.14924241697
(1- 38),2.40664696137,2.37254396147,2.42158115666,2.44548910403,2.49369815426,2.29593529187,2.02868111552,1.85663158095,2.62094640928
(1- 39),2.43991132006,2.59922300203,2.40002021627,2.08093532575,2.48664180974,2.36193084936,2.43671139472,2.14420325104,2.01632737788
(1- 40),1.76289990308,2.44742915437,2.0055596596,3.43942424995,2.04457718485,2.85034652396,3.08402782735,1.17851648416,2.97845990991
(1- 41),2.2856902739,1.8689980684,2.85371022995,1.86354566504,2.28464828911,2.22869424235,2.39038414519,2.4733017354,1.92293877837
(1- 42),1.73732068407,2.47483225996,2.79896206048,1.92969870998,2.56121427784,1.88725971143,2.28646315576,1.92478968901,2.53394590251
(1- 43),2.13949269271,1.98198356456,2.32985926428,2.7076272399,2.16576166795,2.68712474422,2.46674842063,1.99462071695,2.52179804999
(1- 44),2.47252115085,2.01314697876,2.27353667529,2.364396821,2.33055732357,2.4303788862,2.34301006456,2.22321293437,2.44834858245
(1- 45),2.4726984258,2.22797129996,2.41199640901,2.1017557484,2.45692849091,2.75871811984,2.26375111321,2.16134538091,2.13936784172
(1- 46),2.00225973326,2.48270940378,2.18443910558,2.47910982657,2.21736073493,2.76432584227,2.28366142938,2.13825170394,2.42116281101
(1- 47),2.43369978345,2.04623111955,2.11791591146,2.40255194873,2.26655588524,2.75581148971,2.41124644087,2.61843252043,1.73012012768
(1- 48),2.28016079091,2.91010933445,1.74900799543,1.72877045847,2.3569626317,2.17540451186,2.11700474716,2.4455876789,2.33980090316
(1- 49),2.23827327019,2.14021829339,1.98174578205,2.45423408041,2.30337873286,2.46455672576,2.56723114634,2.23543874028,2.50781202975
(1- 50),1.79945454461,2.41430508513,2.63792620231,2.51529123193,2.20789781064,1.69630593293,2.40749189644,1.9897709176,2.31403761697
(1- 51),1.41315650915,2.38681079236,2.14703135987,1.85004806781,1.54351035338,2.25292232318,2.48869959912,2.53352308732,2.72921984688
(1- 52),3.20590310342,2.10972120233,1.83777287546,2.86685648769,2.52141817951,2.45838084581,2.09051745261,1.88045286147,2.41462053485
(1- 53),2.68879930482,2.14653487874,1.89700757167,2.54993226094,2.66165685376,1.97630696242,3.11547394545,1.67970900311,2.55330681436
(1- 54),2.03846767771,1.96379347242,2.72244068054,1.98576195747,2.40606245793,2.92775852774,2.21846667798,2.51875428711,2.0227948585
(1- 55),2.13970024124,2.47451600921,2.50905040362,2.00518261046,1.94929380442,2.86351741525,2.31221066378,1.9842763934,2.57740658123
(1- 56),2.54455463549,2.56247075275,1.65111175266,2.90131864984,2.30742242094,2.33069398536,2.3582647719,2.07682091851,2.40467935737
(1- 57),2.78378825387,2.04751923289,2.40104512263,2.11093832551,2.46232965166,2.49468612217,2.2086065577,2.25222336665,2.1447168448
(1- 58),2.29372267936,1.88735093189,2.55225031627,2.06723404031,2.11604366765,2.26107875352,2.41177047091,2.25826040855,2.9437285312
(1- 60),2.10153154784,2.73889786608,2.35348909825,2.55576628684,2.48380575059,1.7929445326,2.41217508555,2.39199020295,2.07899140408
(1- 61),2.50931538726,2.07051132858,1.1396735003,2.64376187483,2.11029101166,3.681163697,2.17750642557,1.90423921645,3.35726465812
(1- 62),2.54260253822,1.9849369102,2.12382434927,2.35974242698,2.4205281797,2.3803715426,2.39853874162,2.39225471222,2.39056001792
(1- 63),1.29219134284,2.78166071714,3.67895995607,1.67105689208,2.52540627933,1.89900981119,1.88612538355,1.81636807248,3.58255204662
(1- 64),2.62265583008,2.29905379303,2.36351304237,2.87157761328,2.45342336662,4.03794447134,3.10756766603,1.31668901801,0.888229664082
(1- 65),2.94472956975,1.27615756841,3.43853111983,2.23139160973,1.6088078873,1.87232041839,2.77358673489,2.69699031054,2.52561634452
(1- 66),3.00459893612,1.87922971795,2.17334541883,2.18799000027,2.21707321949,2.10560646352,2.61826860334,2.37023825875,2.4442640287
(1- 67),1.58095785911,2.54652211416,2.57538886196,2.36393887495,2.18588645898,1.51415622631,2.0863320954,2.26282700925,2.44216516483
(1- 70),2.77501803176,3.35017908294,2.27375036048,2.31121913646,2.28249052293,2.22771115894,1.71056104858,2.07052228639,2.15335079731
(1- 71),2.23978910465,2.35470804604,2.13673993911,2.53160109237,2.77597438153,1.59956949068,2.73831823936,1.90927583852,2.15391949623
(1- 72),2.17127331028,2.03784613264,2.22679005918,1.61224779277,2.23231016046,2.62737574143,1.90934818912,2.64823057874,2.41741510097
(1- 73),2.56234261327,2.47894546422,2.63422569033,2.1503073676,2.38716401422,2.01589819672,2.22996892515,1.80906470323,2.58117818702
(1- 74),3.14039705499,2.29665111931,2.25149616841,2.93341959938,2.55127244218,1.79241803248,2.36265294941,1.83259337192,2.16848228005
