patterns\K,0,1,2
(2- 104),4.43328792781,3.70776210071,3.51209391041
(2- 105),3.7324335375,2.27916288531,3.20163392202
(2- 106),4.21304074745,3.44165599183,4.14317076132
(2- 107),3.48317156078,2.38702553431,3.07178448846
(2- 108),4.56599762178,3.4852699837,3.78349028276
(2- 109),4.27845272491,4.15535692733,4.06834440018
(2- 110),4.19929732007,4.43378250749,3.90914418842
(3- 1),4.3227871493,4.20174759594,3.98620910206
(3- 2),3.59098947956,3.63217612543,4.70937719269
(3- 3),3.98026227056,4.4748847398,3.98821423651
(3- 4),4.14902640463,4.30256910235,3.9074336521
(3- 5),4.31908657489,4.22167913605,3.95091224313
(3- 6),4.1380617371,3.97810257675,4.31875029847
(3- 8),4.03188064843,3.84291445318,4.40353598823
(3- 9),4.11679929529,3.8796592873,4.44150059554
(3- 10),4.12041801303,3.87488678388,4.43300376863
(3- 11),3.87136475272,4.2707887571,4.33868747245
(3- 12),4.08351271917,4.28509518478,4.05726178324
(3- 14),4.04722199544,4.35064814761,4.13933413927
(3- 15),4.07831515706,4.21185759368,4.16643545351
(3- 16),3.86771869779,4.59737018813,3.88622453033
(3- 17),4.06431119212,3.94206442261,4.38687669995
(3- 18),4.15135358323,4.17683247628,4.19116053409
(3- 19),3.97234355704,4.48742176043,4.07394194015
(3- 20),0.72481540035,0.772694790803,1.06747086951
(3- 22),3.72810442537,4.98599690815,3.77637963978
(3- 24),4.41297643867,3.53206839818,3.95737384657
(3- 25),4.14499329512,2.39653699174,2.59214295457
(3- 26),3.90779889443,4.51646925996,4.00015517621
(3- 27),4.41152723644,3.19690593634,5.01981592305
(3- 28),3.30689185442,4.67040271199,4.42545698342
(3- 29),5.18708677033,3.15383482313,3.39799092418
(3- 30),4.38002914116,3.98618484153,4.09418281273
(3- 31),3.61361925813,4.62153122676,4.21870658092
(3- 32),4.23258367934,4.4122853365,3.78996775121
(3- 33),3.91382675691,4.49027482362,4.11640163903
(3- 34),3.98061364036,4.47072923959,4.05740927913
(3- 35),3.76000485125,4.46734178993,4.24824456167
(3- 36),4.20686623567,4.16412323153,4.15714130583
(3- 37),3.30671451667,3.94816231161,4.3888808774
(3- 38),3.98113094829,4.2970619241,4.31103524851
(3- 39),3.95985465541,4.32458095374,4.17894511327
(3- 40),3.56199678181,4.16999239536,4.60176461072
(3- 41),4.02138073399,4.93600168689,3.24843843922
(3- 42),4.12679270968,4.41086005314,3.87459202253
(3- 43),4.71708106426,3.89840910121,3.84365317438
(3- 44),4.09884558787,4.19485987818,4.18977242579
(3- 45),4.17155902608,4.39280983282,4.05337416873
(3- 46),5.08197547635,3.62047760765,3.25382733478
(3- 47),4.10328559403,3.93940456022,4.27385050693
(3- 48),3.01352685779,4.2767875395,4.50584830266
(3- 49),4.50104063787,4.28646607042,3.72020017461
(3- 50),4.32466470001,3.60087787198,4.46713123047
(3- 51),3.33081731247,3.72254943626,4.93049068693
(3- 52),4.51230945221,4.06874902574,3.92020531529
(3- 53),4.3471725235,3.38685046684,4.06780739189
(3- 54),4.31429386315,4.1181582867,4.01843004259
(3- 55),4.1949889149,4.23014560755,4.09029943745
(3- 56),4.36974314816,4.2295280981,3.95453354867
(3- 57),4.05013828586,4.44190731827,4.05054640066
(3- 58),4.69979029573,4.2097740365,3.61412891807
(3- 60),3.79583181618,4.04253189143,4.51661883187
(3- 61),4.08666602598,4.45983644344,3.99444431638
(3- 62),4.26665867863,4.28120279428,3.93385311509
(3- 63),4.08781279355,2.80344012111,5.95189912695
(3- 64),4.51837286813,3.63984354923,4.1850226647
(3- 65),3.95518928027,3.92297680773,4.44831805407
(3- 66),4.57851017832,3.93941987154,4.00972298211
(3- 67),3.521438915,4.34228588629,3.93918103246
(3- 70),4.24013442675,4.07837236716,4.16825934291
(3- 71),4.40734170753,4.14869145882,3.95701864929
(3- 72),2.56501949162,3.81216893183,3.27249005154
(3- 73),3.95161717089,3.54637886087,4.69840026793
(3- 74),4.09876787887,3.80819784847,4.15118398966
(3- 75),4.27281345003,4.0849679903,4.14119483071
(3- 76),4.34638704394,4.09127283241,4.1500403727
(3- 77),3.83475344187,4.60270406633,4.14504033955
(3- 78),3.66303993359,2.7259990141,3.21441236899
(3- 79),4.42340520317,3.51638679134,4.44313232996
