patterns\K,0,1,2,3
(1- 50),3.82288071762,3.53285680872,3.60708255661,3.05412855493
(1- 51),3.77553771479,3.43503603455,3.44789965657,3.14359571321
(1- 52),3.7689916983,3.3080244215,3.75240967519,3.54179675574
(1- 53),2.85762374782,3.81275441333,3.90153427364,4.0561702851
(1- 54),3.4507873213,3.9502821183,3.96964696556,2.98631106915
(1- 55),3.9307823003,3.56482421339,3.66423690314,3.11178468763
(1- 56),3.77860335478,2.99497491468,4.20557438063,3.43003401277
(1- 57),3.51210276102,3.40479778476,3.76876706981,3.65235739681
(1- 58),3.33130918334,3.63783994565,3.5386801301,3.89703216309
(1- 60),3.31190136859,3.91184871128,3.5111648773,3.73308871177
(1- 61),3.26068735014,4.21403580139,3.26617004994,3.76727384412
(1- 62),3.55110077429,3.64381441387,3.59709278397,3.61138034687
(1- 63),2.47245604525,4.81951306822,4.8363657676,2.50964266165
(1- 64),4.42788595269,4.67106617072,1.84773108365,3.5643769913
(1- 65),3.34826269728,3.81453725037,4.57174700347,2.72518530186
(1- 66),3.36503604002,3.71902088797,3.47669946129,3.83102997349
(1- 67),4.02777794318,3.33519806169,3.48729528875,3.07683841056
(1- 70),4.18966488644,3.05937043461,3.39973065679,3.81883367328
(1- 71),3.70154387745,3.35916255934,3.5463489591,3.66058756832
(1- 72),3.57624300082,3.25731696674,3.58133308681,3.44334428948
(1- 73),3.89439373279,3.55373261773,3.47171534157,3.33930119112
(1- 74),3.93837204465,2.93567468683,3.77450801688,3.77086070594
(1- 75),3.11649880653,4.54119856741,3.50076179887,3.53483486447
(1- 76),3.29960731747,3.06628108597,4.06746114379,4.07893997685
(1- 77),3.51591754222,3.83131733423,3.72193114107,3.33007887778
(1- 78),3.24448307997,3.61041736577,3.46486227557,3.98291300216
(1- 79),3.27092166376,3.3413957894,3.92497288932,3.74814107987
(1- 80),3.29427449851,3.39079325216,3.71678045434,4.02392726064
(1- 81),3.15712382774,3.19591359783,4.01192025947,4.03780716194
(1- 82),3.46613978612,3.1298065479,3.49327279231,4.16480985361
(1- 83),3.29422931875,3.45252529734,3.74529677602,3.86534823494
(1- 84),3.78589549568,3.38162470353,3.57595989887,3.59840868038
(1- 85),3.7110099827,3.8340300356,3.15462475279,3.64058632577
(1- 86),4.36430430372,3.18248602228,3.06195736919,3.45161301885
(1- 87),3.23760246073,3.57733773311,3.57128496915,4.00774564395
(1- 88),3.27927357166,3.76370577264,3.86712484188,3.38890382267
(1- 89),3.38996019127,4.15563974704,3.86465053197,2.92558853183
(1- 90),3.66327661423,3.47429268113,3.45976458973,3.76223422326
(1- 91),3.72523068782,3.49190934908,3.49800629435,3.49598347531
(1- 93),3.55164587427,2.86630243285,4.13380943927,4.00316601098
(1- 94),3.44678285245,3.2676164347,2.75625424652,4.55214459681
(1- 95),3.52429140398,3.40609080141,3.63307528238,3.82688149864
(1- 96),3.52981438734,3.88065919344,3.65251180291,3.44650189162
(1- 97),4.18486114727,3.21069241884,3.22417790608,3.45640139242
(1- 98),3.98038395764,3.60022481332,3.17128851766,3.41097086908
(1- 99),2.9251368408,3.91478398747,4.07809520437,3.60051575241
(1- 100),3.48908574105,3.47153083441,3.97112236452,3.39832347937
(1- 101),3.45597239289,3.27419566177,4.01794779093,3.62442035638
(1- 102),3.34269788658,3.82395102909,3.1341864322,4.06897097026
(1- 103),3.05014519368,3.17315995146,3.48624068769,4.45398374361
(1- 104),3.05078497769,4.01782725393,3.46724545516,3.71027022994
