patterns\K,0,1,2,3,4,5,6
(79- 86),2.70906557911,2.31708433589,2.40240823255,2.67635317835,2.50205045972,2.72305217183,2.76826481606
(79- 57),2.49774234818,3.02352127663,3.12404238643,2.42458102645,2.15450972946,2.13787579977,2.63675343197
(61- 38),2.57310845664,2.66365529904,2.56914580874,2.56625245763,2.61179756252,2.42073774523,2.66475253107
(61- 72),2.69585156041,2.43990568966,2.44061463616,2.60173494685,2.66580787216,2.55249190642,2.5738565968
(61- 11),2.66484425834,2.59933895268,2.9931212056,2.24460571128,2.15153841421,2.47903582421,2.73334444668
(61- 76),2.64168848921,2.70656565999,2.53296441084,2.59417368934,2.35592663311,2.55331510341,2.6558394456
(61- 86),2.39898391877,2.67120185705,2.29543181207,2.73982190642,2.33777736615,2.80090835225,2.79136491235
(61- 57),3.18356219717,1.4467702307,3.16251576736,2.91903001084,2.24191576535,2.40125144384,3.02082517435
(16- 76),1.95850836429,2.69451377784,2.51736305397,2.58142772202,2.45884580916,2.78578483922,2.46300396139
(16- 58),2.09909792125,2.66540481364,2.95455254219,2.69639874173,1.78379433416,2.8028256971,2.65565518472
(16- 66),2.60523378388,2.58974792528,2.41081176454,2.54131118652,2.85448468035,2.61604614838,2.34025716605
(16- 37),2.43537263208,2.54812302137,2.5308146331,2.57291299091,2.72244764665,2.61921179669,2.53741481271
(90- 76),2.57133155535,2.80683454789,2.20240655233,2.4410459659,2.71974558621,2.76033898192,2.51654525995
(90- 58),2.46483112033,2.95505865098,2.52441516725,2.45995215978,2.45834245298,2.64940754256,2.40695129909
(90- 66),2.50572588724,2.47871094172,2.10151290464,2.92469728164,2.20896980187,3.08271506909,2.62568620127
(90- 37),2.08438370898,2.70073169078,2.98705918366,2.35089260236,2.59528398833,2.38095082757,2.43387966355
(56- 79),2.80779841191,2.48549452879,2.46712385132,2.60449355693,2.45947248226,2.48636861368,2.70943872149
(11- 79),2.75170313718,2.39502410752,2.78209141803,2.34197995733,2.85273680409,2.46560746149,2.06199344135
(100- 79),2.20559810521,2.66324236519,3.08319247007,2.85458379784,1.75986774683,2.40075374934,2.40432933849
(109- 79),2.77562352242,2.61554549214,2.32393706107,2.27832095622,2.3937032316,3.20695509773,2.50012334996
(79- 18),2.80676261328,2.59155399212,2.23490985347,2.67329905362,2.42004933273,2.8231074919,2.68862449003
(79- 99),2.74383674328,2.42366448271,2.09520660731,3.033362521,2.38862640544,2.88053650015,2.40831902353
(79- 34),2.60035157605,2.57935718317,2.52306210237,2.32057039718,2.51767458218,2.73546867834,2.85843442074
(18- 100),2.0657852135,2.7698577001,2.05239211949,2.81236150181,3.05661041749,2.40478066058,3.04457444916
(18- 84),2.53723817766,2.62522555742,2.26475900027,2.41526606516,2.80404196952,2.57492807568,2.80988814172
(18- 61),2.61085255967,2.75945153956,2.88033533563,2.51139614207,2.51449870917,2.03384772433,2.71415566815
(18- 109),2.83847932367,2.3382772032,2.57051389289,2.52246341098,2.2260530585,2.98393076847,2.58050627341
(99- 100),3.34868492707,2.91111881441,2.51409356325,2.37263764252,1.56734039036,2.7847923431,2.72991230246
(99- 84),2.61706320183,2.5604033854,2.55394811556,2.57096204292,2.70533215717,2.57583301789,2.44956086059
(99- 61),2.65167615331,1.69800816699,2.84014574263,1.79421350147,2.67256464041,3.55551538298,3.46174897685
(99- 109),2.11539101295,4.60585928411,0.709019728543,2.4172152078,2.37694686791,3.04253187378,3.22192447772
(76- 100),3.54444402607,1.76340021476,3.05954580538,2.37139562295,2.80704896994,2.30809377166,2.42053490114
(76- 84),2.7200857265,2.40351527492,2.62909658415,2.66606468371,2.6573925531,2.40043147755,2.67849125913
(76- 61),2.3713965266,2.98760668278,2.48944879683,2.30309519792,2.42654315176,2.66339791806,1.94489301786
(76- 109),3.32839367164,3.2779537468,2.28039139144,1.52591006575,2.70899876009,3.20557383433,1.76130627056
(34- 100),2.58966492862,2.59871302153,2.1985251576,2.49254510583,2.63136559075,3.07082647273,2.21146085731
(34- 84),2.15959397412,2.70851137718,2.4267426306,2.89542928446,2.66682161486,2.42860447463,2.08646903572
(34- 61),2.69985151843,2.49599133069,2.45783296914,2.53436309008,2.43118775792,2.80074263708,2.54605621017
(34- 109),2.86743848344,2.58002959519,2.51306565697,2.1695288768,2.56981191782,3.14482741543,2.26987829836
(100- 49),2.7707451747,1.89489613192,2.4927107392,3.41311145081,2.37784766155,2.49562219087,2.8699096631
