patterns\K,0,1,2,3,4,5,6,7,8,9
(1- 42),2.20820019572,2.25358631823,2.11792633601,2.05472873782,2.05838774673,1.80611940181,1.82750831795,2.40467940907,1.91284873471,1.87290871003
(1- 43),2.15066681668,2.08911254609,2.01482757321,2.22196180627,1.90210243605,2.23453786585,2.20595801978,1.90026373261,1.96129204447,2.01618439929
(1- 44),1.96854885423,2.15874311141,2.22752978544,1.92417684339,2.02432687919,1.99813241308,2.08227057216,2.08132609059,2.10553548693,2.07430441906
(1- 45),2.1518687607,2.19314682924,2.20377617548,1.98372376581,2.06065047138,1.92631076405,1.82081309505,2.28064068148,2.18289263223,1.82657297167
(1- 46),2.36472617954,1.91265024892,2.01613741108,2.02726742308,2.26268452739,2.07486064346,1.91526715987,2.08019814468,2.04155442092,2.00735765721
(1- 47),2.02229913122,1.91942663078,2.49999415407,1.94456093832,2.28112050618,1.88022817262,2.14435578761,1.94496728766,2.15459375856,1.84543116126
(1- 48),1.91104426995,2.14356419684,1.70105622736,2.17246347961,2.12369963503,2.35803672832,2.03636852832,2.10605554438,1.99922725758,1.83976977344
(1- 49),2.02043940091,2.07354289895,1.95930617982,2.12425847229,2.11671692497,1.96196491414,1.92017465009,2.1045105269,2.11291928587,2.19906654476
(1- 50),2.21090517521,2.07735392776,1.89289255158,2.11295760963,1.8405990262,1.96557640506,2.09815812013,2.34034457895,2.02179338867,1.5975079272
(1- 51),2.40126622226,2.20188802779,1.55016551378,2.29676583877,1.8177848957,1.9040839492,2.15036746019,1.85160034883,2.34297532537,1.66524675548
(1- 52),2.34876232825,1.83280227746,2.21760987561,1.93545666956,1.81010852969,1.82452760739,2.10294834711,2.29922266728,2.14050130932,2.33546143599
(1- 53),1.90319610086,2.60434979496,1.62435243403,1.43906405005,2.10719017151,2.33715610211,1.80213219267,2.98490154964,1.55176958213,2.42824916337
(1- 54),2.01435507954,2.53721253011,1.72418996608,1.59537245323,2.19107487896,2.13026118699,1.80338367098,1.99585744931,2.53702773475,2.06376169775
(1- 55),2.34175969053,2.059773435,1.56413266359,1.89366926946,2.41131295553,1.94505801393,2.1103961726,2.45899311844,1.88849866609,1.9745114858
(1- 56),2.20414066539,2.16189547421,1.95625251058,2.13987733693,1.97404032919,1.99676913483,2.11194903844,1.4789393936,2.3184137283,2.51764708859
(1- 57),1.76176682303,2.2432970484,2.06609870508,2.00258197779,2.47881791036,2.32723549022,1.92457249973,1.73678905266,2.06958445588,1.93980994748
(1- 58),2.0306507739,2.05948552337,2.35366445462,1.78532993611,2.5861221086,1.53048682988,1.48998818076,2.91848860106,1.47021194466,2.54609465153
(1- 60),2.08231933247,1.88706537711,1.97449494445,1.98558058263,2.30623969776,1.90525856192,2.20259903812,1.96434784467,2.25623774644,2.18182376162
(1- 61),2.08581112062,1.46867518795,2.00996613364,1.71798489045,2.23117666866,1.71095962278,1.74398793064,2.69084788927,2.96583623578,2.19296482019
(1- 62),2.12212203415,2.08104345098,2.14597131127,1.88192606712,2.09799322829,2.05199412967,2.07791917039,2.18987463447,2.05793802427,1.95479928324
(1- 63),2.98138712649,2.20553868367,2.50568134509,1.65048807631,0.655601540213,1.63967744174,3.30065354259,3.2793616536,1.52609977937,1.32996287314
(1- 64),2.743114206,1.6669329068,2.19228232921,2.34625311603,1.95263002837,2.20041870357,3.32236999423,1.57059280772,1.2913831621,1.73047302862
(1- 65),2.02513146007,1.61867572354,2.86010766748,1.87257918333,1.49571641803,2.27500728998,2.06770425207,2.10704768428,2.29381783907,2.44128429808
(1- 66),2.11305901703,2.11970673486,2.12707876352,1.87509870803,1.8957859327,2.01148545584,2.18704199957,1.86334559587,2.35697264912,2.19902061697
(1- 67),1.7767979993,2.47343014138,1.67644700603,1.89972746407,2.16240874604,2.47618971719,1.92303317768,2.16249498867,1.80681222363,2.01177973138
(1- 70),0.860310355606,3.23960661505,1.69268582867,4.08382612406,1.42324581314,3.00143347323,1.37318491122,2.42393906372,1.2318452731,1.13604128263
(1- 71),1.69677230439,2.16751501698,1.64138239832,2.22373001062,2.12404596312,2.16814736424,2.21983131896,2.04038390437,2.05167492303,2.13413155298
(1- 72),1.67130700103,2.59437814838,2.18613750888,2.42295768685,2.31125333657,2.22564129002,1.40890721193,1.8460206886,1.60701555519,1.51152862988
(1- 73),2.12634785252,2.05944150696,2.09163994495,2.0866468334,1.93444186066,2.24221724083,2.17299386803,2.12328312578,1.85009990358,1.87342025118
(1- 74),2.53321809858,1.78171491836,2.14699521753,1.78791687666,1.95872998051,2.09875204821,2.18318549827,2.06896834131,1.93458602531,2.38347315676
(1- 75),1.97138128504,2.04076782346,1.55702092981,1.53342309421,1.7842368431,2.32865033245,3.01470227172,2.14945617088,2.16040869666,2.44959619462
(1- 76),1.70365680836,1.88322076447,2.39902027672,1.56147287521,2.41851512127,1.80532245251,2.21832532396,2.37640266354,2.33252888009,2.18712538634
(1- 77),2.08539535225,2.6997811778,2.0783336328,2.2765920978,2.02233151236,2.09114598705,2.19420050003,1.83866506679,1.81288700773,1.45300746153
(1- 78),1.79962171962,1.66174379416,1.74495594818,2.34719770336,2.28718092603,2.13701137804,2.04948434079,2.10491061273,2.39121871394,1.93027184958
(1- 79),1.49357178046,1.07737045399,2.65426983457,1.59635176298,2.42445564215,2.4402549646,2.50257430259,2.67255587591,2.0860989126,1.9196917615
