patterns\K,0,1,2,3,4,5
(61- 72),2.61107808351,3.07750936938,2.76586281461,2.76327494319,2.74570812823,2.73756050371
(61- 11),2.95385828702,2.95660216249,2.11944229285,2.64660903359,3.00396222405,2.90901209541
(61- 76),2.73021310858,2.58422958669,2.77424616721,2.60418885721,2.99236091319,2.99851182484
(61- 86),2.75875800387,2.9349403736,2.68918207627,2.53669374907,2.95254311194,2.86584230619
(61- 57),2.51928979174,3.29524440847,2.53801070602,1.91029803302,3.38644761538,3.367400502
(16- 76),2.58274816172,2.57469913993,2.92825043631,2.88425870282,2.37596084178,2.91906973715
(16- 58),2.95204948054,2.96814632277,2.98638439391,2.87801530946,2.45435870695,2.37870888646
(16- 66),2.9512129248,2.90472996724,2.79326652742,2.46858435726,2.64332870212,2.98227361811
(16- 37),2.80480929317,3.15135280805,2.64026619592,2.62322965733,2.73482966138,2.78481880624
(90- 76),2.74241859893,2.87127191812,2.8141417961,2.75384584383,2.86930694335,2.69349818789
(90- 58),2.64564828001,2.42857916322,2.76264366625,2.77033448046,2.82652031593,3.18259619545
(90- 66),2.84513915012,2.67090582652,3.05964050406,2.28562039364,2.57540605041,3.20705898996
(90- 37),2.62115391453,2.48938797749,3.11363819764,2.46220457593,3.03892538413,2.59532991218
(56- 79),2.6458372018,2.99952648699,2.75832941452,2.67111396178,2.87117019375,2.75948170156
(11- 79),2.75256376916,2.80934540539,2.93561007494,2.32176957041,2.58991007892,2.81192741383
(100- 79),2.51285938759,2.62053671064,3.56994423495,2.11212145415,2.7543172174,2.61764635997
(109- 79),3.07725044736,3.18927519177,2.69637311206,2.70399119287,2.52796356673,2.63665465229
(79- 18),2.63653651174,2.83050240106,2.4430108969,2.93482429821,3.00854661857,3.01158972261
(79- 99),3.04533667807,2.79501930698,2.79861035116,2.32521440681,2.65496418839,3.0422642056
(79- 34),2.59685051537,2.37955579117,2.92108570025,3.00473227509,2.3460056802,3.30712611862
(18- 100),2.99588838485,3.22482994113,2.61110800345,2.1112584893,2.81757404333,3.12293408825
(18- 84),2.67284995582,2.86783616404,2.64813688044,3.09506414529,2.51061287708,2.83143051967
(18- 61),2.59682274729,2.95177479244,3.02558183578,2.48955467566,2.87601560286,2.80231198168
(18- 109),2.94650051331,2.90155381062,2.72447219189,2.67935194135,2.94651677162,2.60166277005
(99- 100),2.22960030954,3.1390800415,3.39595738222,2.90368295247,2.70034096897,2.49793547812
(99- 84),2.97040053416,2.81991899198,2.78461869255,2.73620955138,2.66462404356,2.77862754303
(99- 61),2.28268162913,3.24764314427,1.61146045255,3.37116526211,4.12292461807,2.39947641553
(99- 109),2.67848979357,2.29251444596,3.14515854076,3.2874449324,2.22901670639,3.13048342543
(76- 100),3.65781659665,2.52964971847,2.29366747947,2.96993331253,3.47795542543,2.11092956285
(76- 84),2.55569774052,3.13934270789,2.65753181026,2.6994610078,3.13909011032,2.62831583262
(76- 61),2.95953990326,2.79142489455,2.59551170342,2.41757769816,2.81439482761,2.84921829272
(76- 109),1.5862306456,3.21590424998,3.17492516741,3.55619159742,2.80891798477,2.45596960899
(34- 100),2.54291011295,2.34103517715,3.08311371459,3.08369225443,2.28413746297,2.99126332197
(34- 84),3.01949290438,3.29354626056,2.37973232892,2.10208395866,2.41195381797,3.12139866845
(34- 61),2.8529100191,2.81123018357,2.77413007958,2.62714425194,2.95753685948,2.66407464634
